TransectID,Year,Monsoon_dist_m,PostMonsoon_dist_m,Seasonal_displacement_m,Class,LRR_m_yr
1,2021,,,,Stable,0.0
2,2021,,,,High Erosion,-6.024
3,2021,-124.03,-150.0,25.97,High Erosion,-4.719
4,2021,-182.86,-110.0,-72.86000000000001,High Erosion,-4.199
8,2021,,,,High Accretion,7.711
9,2021,-41.01,10.0,-51.01,Moderate Accretion,0.315
10,2021,-55.17,20.0,-75.17,Moderate Accretion,0.351
13,2021,-59.2,0.0,-59.2,Stable,-0.025
14,2021,-47.83,-0.0,-47.83,Stable,0.0
15,2021,-137.44,-0.0,-137.44,High Erosion,-3.497
16,2021,-136.17,-0.0,-136.17,Moderate Erosion,-0.42
17,2021,,-150.0,,Moderate Erosion,-0.734
18,2021,,0.0,,High Accretion,7.832
19,2021,-255.6,0.0,-255.6,High Erosion,-2.413
23,2021,-329.12,-0.0,-329.12,High Accretion,1.049
24,2021,,-0.0,,Stable,0.0
27,2021,-464.0,0.0,-464.0,High Erosion,-7.343
28,2021,-476.1,0.0,-476.1,Stable,0.0
29,2021,-498.36,0.0,-498.36,Stable,0.0
30,2021,,0.0,,Stable,0.0
32,2021,,,,Stable,0.0
33,2021,,0.0,,Stable,0.0
35,2021,,-0.0,,Stable,0.0
36,2021,,-0.0,,Stable,0.0
37,2021,173.49,-0.0,173.49,Stable,0.0
38,2021,,0.0,,Stable,0.0
40,2021,-249.06,0.0,-249.06,Stable,0.0
41,2021,-12.11,-0.0,-12.11,Moderate Erosion,-0.769
42,2021,36.44,40.0,-3.5600000000000023,High Accretion,1.545
44,2021,-393.49,-380.0,-13.490000000000009,High Erosion,-5.524
45,2021,,-20.0,,Moderate Accretion,0.333
46,2021,,,,Stable,-0.076
47,2021,26.27,0.05,26.22,Stable,0.215
48,2021,14.17,-10.0,24.17,Moderate Erosion,-0.35
52,2021,-14.39,-20.0,5.609999999999999,High Erosion,-1.888
55,2021,-10.52,-410.0,399.48,High Accretion,7.343
57,2021,15.6,-350.0,365.6,High Accretion,6.119
59,2021,-22.15,-50.0,27.85,High Erosion,-2.657
60,2021,-0.85,-10.0,9.15,High Accretion,3.531
63,2021,12.55,-240.0,252.55,High Accretion,4.126
64,2021,-26.67,-20.0,-6.670000000000002,High Erosion,-1.224
65,2021,-25.49,-20.0,-5.489999999999998,High Erosion,-2.832
66,2021,36.88,20.0,16.880000000000003,High Accretion,2.273
67,2021,,-100.0,,High Erosion,-5.21
68,2021,-38.61,-50.0,11.39,High Accretion,2.098
69,2021,9.2,-10.0,19.2,Moderate Accretion,0.455
70,2021,-29.94,0.0,-29.94,Moderate Erosion,-0.774
75,2021,,-470.0,,Stable,-0.154
76,2021,-369.29,-290.0,-79.29000000000002,Moderate Erosion,-0.734
79,2021,-307.84,-320.0,12.160000000000025,Stable,-0.06
81,2021,-121.89,-0.0,-121.89,High Accretion,2.493
83,2021,441.38,0.0,441.38,High Accretion,3.923
84,2021,-49.15,,,High Erosion,-6.742
88,2021,,-0.0,,High Accretion,4.021
89,2021,-38.21,10.0,-48.21,High Accretion,1.503
90,2021,,-0.0,,High Accretion,1.469
93,2021,-426.04,10.0,-436.04,Moderate Erosion,-0.421
96,2021,-166.36,250.0,-416.36,High Accretion,1.224
97,2021,-33.29,140.0,-173.29,High Erosion,-7.867
98,2021,245.23,140.0,105.22999999999999,Stable,0.175
100,2021,-335.71,-260.0,-75.70999999999998,High Accretion,3.287
101,2021,,20.0,,High Accretion,3.986
106,2021,272.0,,,High Erosion,-1.452
107,2021,,-250.0,,High Erosion,-6.538
123,2021,,-210.0,,High Erosion,-2.172
126,2021,,-180.0,,High Accretion,5.974
128,2021,113.19,220.0,-106.81,High Accretion,1.224
129,2021,,210.0,,Moderate Erosion,-0.964
131,2021,,0.0,,High Erosion,-3.986
134,2021,-136.97,-70.0,-66.97,High Accretion,1.608
136,2021,-3.35,-60.0,56.65,High Erosion,-6.923
137,2021,-126.46,,,Moderate Erosion,-0.758
138,2021,,-70.0,,High Accretion,5.191
143,2021,,-50.0,,High Accretion,5.134
147,2021,,-11.9,,High Erosion,-1.847
148,2021,-48.42,30.0,-78.42,High Accretion,3.448
150,2021,,10.0,,Moderate Accretion,0.402
151,2021,7.76,20.0,-12.24,Moderate Accretion,0.848
157,2021,449.54,30.0,419.54,High Accretion,4.071
158,2021,,20.0,,High Accretion,4.429
161,2021,-103.06,-0.0,-103.06,High Accretion,4.038
165,2021,,20.0,,High Accretion,2.902
167,2021,-13.6,0.0,-13.6,High Erosion,-1.259
168,2021,-15.47,20.0,-35.47,Moderate Erosion,-0.559
170,2021,-182.89,-10.0,-172.89,High Erosion,-6.195
174,2021,-162.11,0.0,-162.11,Moderate Erosion,-0.766
183,2021,,,,High Erosion,-3.853
184,2021,-42.4,40.0,-82.4,High Erosion,-2.622
185,2021,175.43,0.0,175.43,High Accretion,4.091
186,2021,-136.43,-0.0,-136.43,High Accretion,2.497
189,2021,-384.76,60.0,-444.76,High Erosion,-3.298
194,2021,,50.0,,High Erosion,-3.776
195,2021,-400.85,-20.0,-380.85,High Erosion,-5.027
196,2021,-455.36,-30.0,-425.36,High Erosion,-7.098
199,2021,,-30.0,,High Accretion,4.309
207,2021,-5.71,0.0,-5.71,Moderate Accretion,0.399
209,2021,305.52,-210.0,515.52,High Erosion,-4.895
210,2021,456.01,-0.0,456.01,High Accretion,7.797
211,2021,-206.42,0.0,-206.42,Stable,0.0
213,2021,-179.81,0.0,-179.81,High Erosion,-5.613
214,2021,-201.27,0.0,-201.27,High Accretion,1.406
215,2021,-416.59,,,Moderate Erosion,-0.367
216,2021,-206.9,-370.0,163.1,High Accretion,5.107
217,2021,-156.27,,,High Erosion,-1.347
220,2021,-29.5,-30.0,0.5,High Erosion,-7.452
222,2021,225.34,320.0,-94.66,High Erosion,-3.531
224,2021,59.5,-460.0,519.5,Stable,0.21
226,2021,,-130.0,,High Accretion,2.273
229,2021,83.25,0.0,83.25,High Erosion,-6.206
231,2021,,10.0,,High Accretion,1.933
233,2021,-50.39,0.0,-50.39,Moderate Accretion,0.336
236,2021,-19.69,10.0,-29.69,Moderate Accretion,0.786
242,2021,387.57,460.0,-72.43,High Accretion,1.191
244,2021,-32.43,-40.0,7.57,High Erosion,-7.494
245,2021,-58.99,40.0,-98.99000000000001,Stable,0.281
261,2021,-21.88,,,High Erosion,-4.997
263,2021,-291.81,50.0,-341.81,High Accretion,1.958
264,2021,-83.44,0.0,-83.44,Stable,0.0
265,2021,-135.55,0.0,-135.55,Stable,0.0
1,2022,,,,Stable,0.0
2,2022,,,,High Erosion,-6.024
3,2022,,,,High Erosion,-4.719
4,2022,,,,High Erosion,-4.199
8,2022,,,,High Accretion,7.711
9,2022,-41.01,-50.0,8.990000000000002,Moderate Accretion,0.315
10,2022,-45.08,-40.0,-5.079999999999998,Moderate Accretion,0.351
13,2022,41.78,0.0,41.78,Stable,-0.025
14,2022,-57.93,-0.0,-57.93,Stable,0.0
15,2022,-46.56,-100.0,53.44,High Erosion,-3.497
16,2022,-95.78,-0.0,-95.78,Moderate Erosion,-0.42
17,2022,-28.17,0.0,-28.17,Moderate Erosion,-0.734
18,2022,,-190.0,,High Accretion,7.832
19,2022,-255.6,0.0,-255.6,High Erosion,-2.413
23,2022,-329.12,-0.0,-329.12,High Accretion,1.049
24,2022,,-0.0,,Stable,0.0
27,2022,-453.84,0.0,-453.84,High Erosion,-7.343
28,2022,-455.78,0.0,-455.78,Stable,0.0
29,2022,-478.04,0.0,-478.04,Stable,0.0
30,2022,,0.0,,Stable,0.0
32,2022,,-0.0,,Stable,0.0
33,2022,,0.0,,Stable,0.0
35,2022,,-0.0,,Stable,0.0
36,2022,,-0.0,,Stable,0.0
37,2022,173.49,,,Stable,0.0
38,2022,,0.0,,Stable,0.0
40,2022,-228.86,0.0,-228.86,Stable,0.0
41,2022,-12.11,-0.0,-12.11,Moderate Erosion,-0.769
42,2022,26.28,40.0,-13.719999999999999,High Accretion,1.545
44,2022,-393.49,-0.0,-393.49,High Erosion,-5.524
45,2022,,0.0,,Moderate Accretion,0.333
46,2022,,,,Stable,-0.076
47,2022,,0.05,,Stable,0.215
48,2022,-6.15,-10.0,3.8499999999999996,Moderate Erosion,-0.35
52,2022,-24.55,-10.0,-14.55,High Erosion,-1.888
55,2022,-20.68,-10.0,-10.68,High Accretion,7.343
57,2022,-4.72,-0.0,-4.72,High Accretion,6.119
59,2022,-32.25,-50.0,17.75,High Erosion,-2.657
60,2022,-0.85,-10.0,9.15,High Accretion,3.531
63,2022,2.45,-20.0,22.45,High Accretion,4.126
64,2022,-107.45,-20.0,-87.45,High Erosion,-1.224
65,2022,-166.86,-20.0,-146.86,High Erosion,-2.832
66,2022,-24.09,20.0,-44.09,High Accretion,2.273
67,2022,-66.67,-100.0,33.33,High Erosion,-5.21
68,2022,-119.9,10.0,-129.9,High Accretion,2.098
69,2022,-91.78,-10.0,-81.78,Moderate Accretion,0.455
70,2022,61.52,10.0,51.52,Moderate Erosion,-0.774
75,2022,414.06,370.0,44.06,Stable,-0.154
76,2022,-389.61,-290.0,-99.61000000000001,Moderate Erosion,-0.734
79,2022,-318.0,40.0,-358.0,Stable,-0.06
81,2022,-121.89,20.0,-141.89,High Accretion,2.493
83,2022,-320.73,0.0,-320.73,High Accretion,3.923
84,2022,,-70.0,,High Erosion,-6.742
88,2022,,-0.0,,High Accretion,4.021
89,2022,385.9,10.0,375.9,High Accretion,1.503
90,2022,-301.05,-0.0,-301.05,High Accretion,1.469
93,2022,,,,Moderate Erosion,-0.421
96,2022,229.94,290.0,-60.06,High Accretion,1.224
97,2022,-216.2,140.0,-356.2,High Erosion,-7.867
98,2022,62.32,300.0,-237.68,Stable,0.175
100,2022,-30.87,-260.0,229.13,High Accretion,3.287
101,2022,,20.0,,High Accretion,3.986
106,2022,49.85,50.0,-0.14999999999999858,High Erosion,-1.452
107,2022,,-410.0,,High Erosion,-6.538
123,2022,-17.46,10.0,-27.46,High Erosion,-2.172
126,2022,-140.78,0.0,-140.78,High Accretion,5.974
128,2022,103.03,240.0,-136.97,High Accretion,1.224
129,2022,-369.69,,,Moderate Erosion,-0.964
131,2022,,420.0,,High Erosion,-3.986
134,2022,-136.97,-0.0,-136.97,High Accretion,1.608
136,2022,-84.64,-60.0,-24.64,High Erosion,-6.923
137,2022,-136.56,0.0,-136.56,Moderate Erosion,-0.758
138,2022,,20.0,,High Accretion,5.191
143,2022,,0.0,,High Accretion,5.134
147,2022,,,,High Erosion,-1.847
148,2022,,,,High Accretion,3.448
150,2022,,,,Moderate Accretion,0.402
151,2022,28.08,0.0,28.08,Moderate Accretion,0.848
157,2022,,10.0,,High Accretion,4.071
158,2022,-75.04,30.0,-105.04,High Accretion,4.429
161,2022,-103.06,-20.0,-83.06,High Accretion,4.038
165,2022,-14.19,20.0,-34.19,High Accretion,2.902
167,2022,-13.6,0.0,-13.6,High Erosion,-1.259
168,2022,-15.47,10.0,-25.47,Moderate Erosion,-0.559
170,2022,-213.18,20.0,-233.18,High Erosion,-6.195
174,2022,-375.5,-340.0,-35.5,Moderate Erosion,-0.766
183,2022,,,,High Erosion,-3.853
184,2022,,30.0,,High Erosion,-2.622
185,2022,,180.0,,High Accretion,4.091
186,2022,75.63,140.0,-64.37,High Accretion,2.497
189,2022,39.35,-80.0,119.35,High Erosion,-3.298
194,2022,,50.0,,High Erosion,-3.776
195,2022,-451.34,-60.0,-391.34,High Erosion,-5.027
196,2022,,-90.0,,High Erosion,-7.098
199,2022,,-50.0,,High Accretion,4.309
207,2022,-15.81,0.0,-15.81,Moderate Accretion,0.399
209,2022,-172.06,-0.0,-172.06,High Erosion,-4.895
210,2022,456.01,-0.0,456.01,High Accretion,7.797
211,2022,-206.42,0.0,-206.42,Stable,0.0
213,2022,-169.65,-350.0,180.35,High Erosion,-5.613
214,2022,-69.17,0.0,-69.17,High Accretion,1.406
215,2022,-406.43,0.0,-406.43,Moderate Erosion,-0.367
216,2022,-459.35,20.0,-479.35,High Accretion,5.107
217,2022,-369.66,-160.0,-209.66000000000003,High Erosion,-1.347
220,2022,-39.66,-30.0,-9.659999999999997,High Erosion,-7.452
222,2022,,40.0,,High Erosion,-3.531
224,2022,130.63,30.0,100.63,Stable,0.21
226,2022,-153.9,-170.0,16.099999999999994,High Accretion,2.273
229,2022,,270.0,,High Erosion,-6.206
231,2022,-61.0,10.0,-71.0,High Accretion,1.933
233,2022,-60.49,0.0,-60.49,Moderate Accretion,0.336
236,2022,,10.0,,Moderate Accretion,0.786
242,2022,-198.11,460.0,-658.11,High Accretion,1.191
244,2022,18.06,-40.0,58.06,High Erosion,-7.494
245,2022,-69.15,-60.0,-9.150000000000006,Stable,0.281
261,2022,-32.04,50.0,-82.03999999999999,High Erosion,-4.997
263,2022,-291.81,10.0,-301.81,High Accretion,1.958
264,2022,-83.44,0.0,-83.44,Stable,0.0
265,2022,137.1,0.0,137.1,Stable,0.0
1,2023,,,,Stable,0.0
2,2023,,,,High Erosion,-6.024
3,2023,,10.0,,High Erosion,-4.719
4,2023,,-300.0,,High Erosion,-4.199
8,2023,,,,High Accretion,7.711
9,2023,-0.37,10.0,-10.37,Moderate Accretion,0.315
10,2023,25.61,12.97,12.639999999999999,Moderate Accretion,0.351
13,2023,1.38,-20.0,21.38,Stable,-0.025
14,2023,-88.22,-0.0,-88.22,Stable,0.0
15,2023,-137.44,-0.0,-137.44,High Erosion,-3.497
16,2023,-166.46,-0.0,-166.46,Moderate Erosion,-0.42
17,2023,,-150.0,,Moderate Erosion,-0.734
18,2023,,0.0,,High Accretion,7.832
19,2023,-225.11,0.0,-225.11,High Erosion,-2.413
23,2023,-308.93,-0.0,-308.93,High Accretion,1.049
24,2023,,-0.0,,Stable,0.0
27,2023,-433.52,-420.0,-13.519999999999982,High Erosion,-7.343
28,2023,-445.61,0.0,-445.61,Stable,0.0
29,2023,-467.87,0.0,-467.87,Stable,0.0
30,2023,,0.0,,Stable,0.0
32,2023,,,,Stable,0.0
33,2023,,0.0,,Stable,0.0
35,2023,,-0.0,,Stable,0.0
36,2023,,-0.0,,Stable,0.0
37,2023,173.49,-0.0,173.49,Stable,0.0
38,2023,,0.0,,Stable,0.0
40,2023,-208.67,0.0,-208.67,Stable,0.0
41,2023,160.64,-0.0,160.64,Moderate Erosion,-0.769
42,2023,310.8,40.0,270.8,High Accretion,1.545
44,2023,-393.49,-20.0,-373.49,High Erosion,-5.524
45,2023,,0.0,,Moderate Accretion,0.333
46,2023,,-0.0,,Stable,-0.076
47,2023,-14.38,0.05,-14.430000000000001,Stable,0.215
48,2023,-16.31,-10.0,-6.309999999999999,Moderate Erosion,-0.35
52,2023,-44.87,-40.0,-4.869999999999997,High Erosion,-1.888
55,2023,-41.0,-410.0,369.0,High Accretion,7.343
57,2023,-25.04,-350.0,324.96,High Accretion,6.119
59,2023,-52.44,-50.0,-2.4399999999999977,High Erosion,-2.657
60,2023,-21.18,-30.0,8.82,High Accretion,3.531
63,2023,-17.75,-240.0,222.25,High Accretion,4.126
64,2023,-46.86,-40.0,-6.859999999999999,High Erosion,-1.224
65,2023,-15.4,-40.0,24.6,High Erosion,-2.832
66,2023,57.2,0.0,57.2,High Accretion,2.273
67,2023,14.62,-40.0,54.62,High Erosion,-5.21
68,2023,22.36,-50.0,72.36,High Accretion,2.098
69,2023,-51.38,-30.0,-21.380000000000003,Moderate Accretion,0.455
70,2023,51.36,,,Moderate Erosion,-0.774
75,2023,-434.16,-70.0,-364.16,Stable,-0.154
76,2023,-379.45,-310.0,-69.44999999999999,Moderate Erosion,-0.734
79,2023,,20.0,,Stable,-0.06
81,2023,,0.0,,High Accretion,2.493
83,2023,-371.54,440.0,-811.54,High Accretion,3.923
84,2023,,,,High Erosion,-6.742
88,2023,132.87,-0.0,132.87,High Accretion,4.021
89,2023,-139.19,-0.0,-139.19,High Accretion,1.503
90,2023,-28.4,-0.0,-28.4,High Accretion,1.469
93,2023,,-210.0,,Moderate Erosion,-0.421
96,2023,209.61,-200.0,409.61,High Accretion,1.224
97,2023,-206.04,-210.0,3.960000000000008,High Erosion,-7.867
98,2023,,240.0,,Stable,0.175
100,2023,-30.87,-120.0,89.13,High Accretion,3.287
101,2023,,-10.0,,High Accretion,3.986
106,2023,39.75,,,High Erosion,-1.452
107,2023,453.79,,,High Erosion,-6.538
123,2023,-129.23,10.0,-139.23,High Erosion,-2.172
126,2023,-160.98,-40.0,-120.97999999999999,High Accretion,5.974
128,2023,194.48,200.0,-5.52000000000001,High Accretion,1.224
129,2023,488.63,,,Moderate Erosion,-0.964
131,2023,,300.0,,High Erosion,-3.986
134,2023,,0.0,,High Accretion,1.608
136,2023,-104.96,-80.0,-24.959999999999994,High Erosion,-6.923
137,2023,-156.75,-170.0,13.25,Moderate Erosion,-0.758
138,2023,,,,High Accretion,5.191
143,2023,-9.71,,,High Accretion,5.134
147,2023,,,,High Erosion,-1.847
148,2023,,,,High Accretion,3.448
150,2023,,,,Moderate Accretion,0.402
151,2023,-63.37,,,Moderate Accretion,0.848
157,2023,-45.25,-20.0,-25.25,High Accretion,4.071
158,2023,,,,High Accretion,4.429
161,2023,-113.23,-40.0,-73.23,High Accretion,4.038
165,2023,-64.68,20.0,-84.68,High Accretion,2.902
167,2023,6.59,0.0,6.59,High Erosion,-1.259
168,2023,-218.7,0.0,-218.7,Moderate Erosion,-0.559
170,2023,-61.71,-100.0,38.29,High Erosion,-6.195
174,2023,,,,Moderate Erosion,-0.766
183,2023,,-37.15,,High Erosion,-3.853
184,2023,-12.11,-50.0,37.89,High Erosion,-2.622
185,2023,,0.0,,High Accretion,4.091
186,2023,-136.43,-20.0,-116.43,High Accretion,2.497
189,2023,-233.29,-240.0,6.710000000000008,High Erosion,-3.298
194,2023,15.94,10.0,5.9399999999999995,High Erosion,-3.776
195,2023,-451.34,-80.0,-371.34,High Erosion,-5.027
196,2023,-89.55,-90.0,0.45000000000000284,High Erosion,-7.098
199,2023,-53.7,,,High Accretion,4.309
207,2023,-56.2,,,Moderate Accretion,0.399
209,2023,488.43,-150.0,638.4300000000001,High Erosion,-4.895
210,2023,-295.94,-0.0,-295.94,High Accretion,7.797
211,2023,210.2,0.0,210.2,Stable,0.0
213,2023,-189.97,-110.0,-79.97,High Erosion,-5.613
214,2023,-201.27,-50.0,-151.27,High Accretion,1.406
215,2023,-50.78,-60.0,9.219999999999999,Moderate Erosion,-0.367
216,2023,,-40.0,,High Accretion,5.107
217,2023,,-140.0,,High Erosion,-1.347
220,2023,-29.5,-30.0,0.5,High Erosion,-7.452
222,2023,-168.48,0.0,-168.48,High Erosion,-3.531
224,2023,-367.28,120.0,-487.28,Stable,0.21
226,2023,-153.9,-170.0,16.099999999999994,High Accretion,2.273
229,2023,,270.0,,High Erosion,-6.206
231,2023,-0.03,10.0,-10.03,High Accretion,1.933
233,2023,10.2,0.0,10.2,Moderate Accretion,0.336
236,2023,-9.59,,,Moderate Accretion,0.786
242,2023,195.71,,,High Accretion,1.191
244,2023,-194.0,,,High Erosion,-7.494
245,2023,-58.99,,,Stable,0.281
261,2023,-21.88,-50.0,28.12,High Erosion,-4.997
263,2023,-59.56,10.0,-69.56,High Accretion,1.958
264,2023,-63.12,0.0,-63.12,Stable,0.0
265,2023,-135.55,-0.0,-135.55,Stable,0.0
